filename,width,height,class,xmin,ymin,xmax,ymax
image_58_png.rf.09c57db9ddf96d7a1ca767521a8d30aa.jpg,640,640,ball,138,232,151,248
image_58_png.rf.09c57db9ddf96d7a1ca767521a8d30aa.jpg,640,640,ball,324,392,336,408
image_58_png.rf.09c57db9ddf96d7a1ca767521a8d30aa.jpg,640,640,ball,118,355,130,371
image_58_png.rf.09c57db9ddf96d7a1ca767521a8d30aa.jpg,640,640,ball,156,102,168,118
image_58_png.rf.09c57db9ddf96d7a1ca767521a8d30aa.jpg,640,640,ball,330,211,340,226
image_58_png.rf.09c57db9ddf96d7a1ca767521a8d30aa.jpg,640,640,ball,291,556,304,573
image_58_png.rf.09c57db9ddf96d7a1ca767521a8d30aa.jpg,640,640,ball,251,311,262,327
image_58_png.rf.09c57db9ddf96d7a1ca767521a8d30aa.jpg,640,640,ball,119,438,132,455
image_58_png.rf.09c57db9ddf96d7a1ca767521a8d30aa.jpg,640,640,ball,538,339,550,353
image_58_png.rf.09c57db9ddf96d7a1ca767521a8d30aa.jpg,640,640,ball,263,318,275,333
image_58_png.rf.09c57db9ddf96d7a1ca767521a8d30aa.jpg,640,640,ball,279,300,290,315
image_58_png.rf.09c57db9ddf96d7a1ca767521a8d30aa.jpg,640,640,bigGoal,43,297,58,370
image_58_png.rf.09c57db9ddf96d7a1ca767521a8d30aa.jpg,640,640,ball,543,91,557,107
image_58_png.rf.09c57db9ddf96d7a1ca767521a8d30aa.jpg,640,640,ball,287,310,299,325
image_58_png.rf.09c57db9ddf96d7a1ca767521a8d30aa.jpg,640,640,ball,303,316,317,333
image_58_png.rf.09c57db9ddf96d7a1ca767521a8d30aa.jpg,640,640,ball,299,331,310,349
image_58_png.rf.09c57db9ddf96d7a1ca767521a8d30aa.jpg,640,640,ball,287,328,299,346
image_58_png.rf.09c57db9ddf96d7a1ca767521a8d30aa.jpg,640,640,smallGoal,537,326,552,367
image_12_png.rf.10d6e808c85bae0e22deeea8b2ed38a9.jpg,640,640,ball,413,308,425,325
image_12_png.rf.10d6e808c85bae0e22deeea8b2ed38a9.jpg,640,640,ball,389,485,402,502
image_12_png.rf.10d6e808c85bae0e22deeea8b2ed38a9.jpg,640,640,ball,426,247,437,263
image_12_png.rf.10d6e808c85bae0e22deeea8b2ed38a9.jpg,640,640,ball,494,328,508,344
image_12_png.rf.10d6e808c85bae0e22deeea8b2ed38a9.jpg,640,640,ball,252,437,265,454
image_12_png.rf.10d6e808c85bae0e22deeea8b2ed38a9.jpg,640,640,ball,421,160,433,176
image_12_png.rf.10d6e808c85bae0e22deeea8b2ed38a9.jpg,640,640,ball,231,182,243,198
image_12_png.rf.10d6e808c85bae0e22deeea8b2ed38a9.jpg,640,640,ball,223,320,235,335
image_12_png.rf.10d6e808c85bae0e22deeea8b2ed38a9.jpg,640,640,ball,390,114,402,131
image_12_png.rf.10d6e808c85bae0e22deeea8b2ed38a9.jpg,640,640,ball,239,569,252,586
image_12_png.rf.10d6e808c85bae0e22deeea8b2ed38a9.jpg,640,640,ball,138,125,150,141
image_12_png.rf.10d6e808c85bae0e22deeea8b2ed38a9.jpg,640,640,ball,291,173,302,189
image_12_png.rf.10d6e808c85bae0e22deeea8b2ed38a9.jpg,640,640,ball,44,564,60,581
image_12_png.rf.10d6e808c85bae0e22deeea8b2ed38a9.jpg,640,640,ball,528,111,541,127
image_12_png.rf.10d6e808c85bae0e22deeea8b2ed38a9.jpg,640,640,ball,501,502,515,519
image_12_png.rf.10d6e808c85bae0e22deeea8b2ed38a9.jpg,640,640,ball,286,335,298,349
image_12_png.rf.10d6e808c85bae0e22deeea8b2ed38a9.jpg,640,640,smallGoal,536,325,551,364
image_12_png.rf.10d6e808c85bae0e22deeea8b2ed38a9.jpg,640,640,bigGoal,43,297,57,369
image_2_png.rf.1b04db0d19bca16d0df3e0bb65a78004.jpg,640,640,ball,372,265,384,281
image_2_png.rf.1b04db0d19bca16d0df3e0bb65a78004.jpg,640,640,ball,93,230,106,246
image_2_png.rf.1b04db0d19bca16d0df3e0bb65a78004.jpg,640,640,ball,283,115,295,131
image_2_png.rf.1b04db0d19bca16d0df3e0bb65a78004.jpg,640,640,ball,278,439,291,456
image_2_png.rf.1b04db0d19bca16d0df3e0bb65a78004.jpg,640,640,ball,426,283,438,300
image_2_png.rf.1b04db0d19bca16d0df3e0bb65a78004.jpg,640,640,ball,390,114,402,131
image_2_png.rf.1b04db0d19bca16d0df3e0bb65a78004.jpg,640,640,ball,479,119,492,136
image_2_png.rf.1b04db0d19bca16d0df3e0bb65a78004.jpg,640,640,ball,148,388,161,404
image_2_png.rf.1b04db0d19bca16d0df3e0bb65a78004.jpg,640,640,ball,477,569,492,587
image_2_png.rf.1b04db0d19bca16d0df3e0bb65a78004.jpg,640,640,ball,524,287,537,302
